country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Narela, Delhi - DPCC","12-09-2025 14:00:00",28.822836,77.101981,CO,22,114,84
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","12-09-2025 14:00:00",28.567890,77.250515,SO2,6,12,8
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","12-09-2025 14:00:00",28.6573814,77.1585447,OZONE,1,68,31
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","12-09-2025 14:00:00",28.530785,77.271255,CO,46,102,52
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","12-09-2025 14:00:00",28.623763,77.287209,NH3,5,6,5
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","12-09-2025 14:00:00",28.3153,76.9143,NH3,1,17,4
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","12-09-2025 14:00:00",16.172806,75.659694,PM10,42,43,42
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","12-09-2025 14:00:00",16.172806,75.659694,SO2,7,7,7
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","12-09-2025 14:00:00",23.016834,72.625775,PM10,52,128,76
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","12-09-2025 14:00:00",23.016834,72.625775,CO,24,97,31
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","12-09-2025 14:00:00",23.016834,72.625775,OZONE,2,33,9
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","12-09-2025 14:00:00",23.041137,72.456691,PM10,37,117,57
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","12-09-2025 14:00:00",22.969611,72.643500,PM2.5,21,37,26
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","12-09-2025 14:00:00",22.969611,72.643500,NH3,2,3,2
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","12-09-2025 14:00:00",28.422681,77.148944,PM2.5,24,94,55
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","12-09-2025 14:00:00",28.674045,77.131023,CO,12,74,50
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","12-09-2025 14:00:00",28.674045,77.131023,OZONE,16,60,37
India,Delhi,Delhi,"Pusa, Delhi - DPCC","12-09-2025 14:00:00",28.639652,77.146275,NH3,1,5,3
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","12-09-2025 14:00:00",13.0246342,77.5080115,NO2,24,25,25
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","12-09-2025 14:00:00",12.917348,77.622813,PM10,112,272,172
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","12-09-2025 14:00:00",12.917348,77.622813,SO2,8,11,9
India,Karnataka,Bidar,"Naubad, Bidar - KSPCB","12-09-2025 14:00:00",17.930306,77.482194,PM10,NA,NA,NA
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","12-09-2025 14:00:00",11.55358,76.55521,PM2.5,19,51,33
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","12-09-2025 14:00:00",11.55358,76.55521,PM10,29,64,46
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","12-09-2025 14:00:00",11.55358,76.55521,NO2,15,35,28
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","12-09-2025 14:00:00",11.55358,76.55521,SO2,2,7,4
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","12-09-2025 14:00:00",11.55358,76.55521,OZONE,21,38,28
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB","12-09-2025 14:00:00",13.428828,77.731418,NH3,1,1,1
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","12-09-2025 14:00:00",13.328028,75.797056,PM10,29,45,32
India,"Madhya Pradesh",Bhopal,"T T Nagar, Bhopal - MPPCB","12-09-2025 14:00:00",23.233584,77.400574,SO2,2,25,15
India,"Madhya Pradesh",Damoh,"Shrivastav Colony, Damoh - MPPCB","12-09-2025 14:00:00",23.81748678,79.446246,SO2,13,27,15
India,"Madhya Pradesh",Gwalior,"City Center, Gwalior - MPPCB","12-09-2025 14:00:00",26.203442,78.193251,PM2.5,23,52,36
India,"Madhya Pradesh",Gwalior,"City Center, Gwalior - MPPCB","12-09-2025 14:00:00",26.203442,78.193251,NH3,2,2,2
India,"Madhya Pradesh",Gwalior,"City Center, Gwalior - MPPCB","12-09-2025 14:00:00",26.203442,78.193251,CO,14,116,49
India,"Madhya Pradesh",Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB","12-09-2025 14:00:00",26.259242,78.216432,PM2.5,8,243,71
India,"Madhya Pradesh",Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB","12-09-2025 14:00:00",26.259242,78.216432,NO2,3,18,7
India,"Madhya Pradesh",Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB","12-09-2025 14:00:00",26.259242,78.216432,CO,32,47,38
India,"Madhya Pradesh",Gwalior,"Maharaj Bada, Gwalior - MPPCB","12-09-2025 14:00:00",26.200388,78.147714,PM2.5,27,60,47
India,"Madhya Pradesh",Gwalior,"Maharaj Bada, Gwalior - MPPCB","12-09-2025 14:00:00",26.200388,78.147714,PM10,51,104,74
India,"Madhya Pradesh",Gwalior,"Maharaj Bada, Gwalior - MPPCB","12-09-2025 14:00:00",26.200388,78.147714,NH3,1,2,2
